start,startPosition,end,endPosition,frequency
45,"[156.0410004, 139.3359985, 136.3329926]",92,"[140.1150055, 132.2189941, 171.2709961]",6
45,"[156.0410004, 139.3359985, 136.3329926]",93,"[137.6660004, 123.0029984, 177.147995]",1
48,"[160.5249939, 110.7419968, 140.3540039]",39,"[152.2220001, 68.46289825, 157.4160004]",2
48,"[160.5249939, 110.7419968, 140.3540039]",81,"[131.3990021, 172.6230011, 161.6049957]",4
48,"[160.5249939, 110.7419968, 140.3540039]",83,"[140.5249939, 148.4060059, 167.2109985]",1
48,"[160.5249939, 110.7419968, 140.3540039]",84,"[142.7519989, 136.5160065, 168.7149963]",1
48,"[160.5249939, 110.7419968, 140.3540039]",93,"[137.6660004, 123.0029984, 177.147995]",1
52,"[153.1410065, 150.4570007, 139.9400024]",39,"[152.2220001, 68.46289825, 157.4160004]",1
52,"[153.1410065, 150.4570007, 139.9400024]",92,"[140.1150055, 132.2189941, 171.2709961]",1
55,"[158.6190033, 123.2190018, 146.7550049]",11,"[138.5820007, 164.0650024, 116.2009964]",1
55,"[158.6190033, 123.2190018, 146.7550049]",13,"[138.2689972, 179.3699951, 124.5009995]",2
55,"[158.6190033, 123.2190018, 146.7550049]",19,"[134.6849976, 137.822998, 78.49230194]",3
55,"[158.6190033, 123.2190018, 146.7550049]",41,"[144.4600067, 172.7590027, 126.1689987]",1
55,"[158.6190033, 123.2190018, 146.7550049]",56,"[158.3450012, 113.0589981, 147.6470032]",1
55,"[158.6190033, 123.2190018, 146.7550049]",57,"[143.9880066, 174.8549957, 137.7160034]",2
55,"[158.6190033, 123.2190018, 146.7550049]",58,"[146.345993, 165.3130035, 141.4450073]",5
55,"[158.6190033, 123.2190018, 146.7550049]",59,"[151.7429962, 155.5279999, 144.3860016]",8
55,"[158.6190033, 123.2190018, 146.7550049]",60,"[151.2940063, 145.7890015, 147.4069977]",5
55,"[158.6190033, 123.2190018, 146.7550049]",62,"[155.1399994, 128.4019928, 151.8249969]",3
55,"[158.6190033, 123.2190018, 146.7550049]",63,"[156.1549988, 120.0169983, 153.4470062]",5
55,"[158.6190033, 123.2190018, 146.7550049]",64,"[157.9980011, 105.8190002, 154.4190063]",2
55,"[158.6190033, 123.2190018, 146.7550049]",70,"[151.7799988, 123.7529984, 158.2429962]",5
55,"[158.6190033, 123.2190018, 146.7550049]",72,"[156.5449982, 102.3290024, 159.7810059]",6
55,"[158.6190033, 123.2190018, 146.7550049]",74,"[143.0890045, 162.6399994, 158.6560059]",2
55,"[158.6190033, 123.2190018, 146.7550049]",77,"[147.1609955, 134.2330017, 165.076004]",1
55,"[158.6190033, 123.2190018, 146.7550049]",78,"[150.5050049, 122.2490005, 165.6860046]",3
55,"[158.6190033, 123.2190018, 146.7550049]",79,"[151.3110046, 110.5469971, 164.7810059]",3
55,"[158.6190033, 123.2190018, 146.7550049]",80,"[153.977005, 99.99990082, 164.8159943]",5
55,"[158.6190033, 123.2190018, 146.7550049]",81,"[131.3990021, 172.6230011, 161.6049957]",6
55,"[158.6190033, 123.2190018, 146.7550049]",83,"[140.5249939, 148.4060059, 167.2109985]",3
55,"[158.6190033, 123.2190018, 146.7550049]",84,"[142.7519989, 136.5160065, 168.7149963]",2
55,"[158.6190033, 123.2190018, 146.7550049]",85,"[142.0429993, 130.0619965, 169.8990021]",2
55,"[158.6190033, 123.2190018, 146.7550049]",89,"[128.6710052, 165.6470032, 169.845993]",3
55,"[158.6190033, 123.2190018, 146.7550049]",91,"[137.1580048, 147.8760071, 171.6820068]",3
55,"[158.6190033, 123.2190018, 146.7550049]",92,"[140.1150055, 132.2189941, 171.2709961]",3
55,"[158.6190033, 123.2190018, 146.7550049]",95,"[142.2890015, 98.17539978, 177.878006]",1
55,"[158.6190033, 123.2190018, 146.7550049]",100,"[131.3910065, 125.6579971, 183.0509949]",2
55,"[158.6190033, 123.2190018, 146.7550049]",102,"[133.1990051, 102.9140015, 184.3399963]",1
56,"[158.3450012, 113.0589981, 147.6470032]",19,"[134.6849976, 137.822998, 78.49230194]",1
56,"[158.3450012, 113.0589981, 147.6470032]",55,"[158.6190033, 123.2190018, 146.7550049]",1
56,"[158.3450012, 113.0589981, 147.6470032]",57,"[143.9880066, 174.8549957, 137.7160034]",2
56,"[158.3450012, 113.0589981, 147.6470032]",58,"[146.345993, 165.3130035, 141.4450073]",3
56,"[158.3450012, 113.0589981, 147.6470032]",59,"[151.7429962, 155.5279999, 144.3860016]",3
56,"[158.3450012, 113.0589981, 147.6470032]",60,"[151.2940063, 145.7890015, 147.4069977]",2
56,"[158.3450012, 113.0589981, 147.6470032]",61,"[154.4859924, 137.5749969, 149.378006]",2
56,"[158.3450012, 113.0589981, 147.6470032]",62,"[155.1399994, 128.4019928, 151.8249969]",4
56,"[158.3450012, 113.0589981, 147.6470032]",63,"[156.1549988, 120.0169983, 153.4470062]",4
56,"[158.3450012, 113.0589981, 147.6470032]",64,"[157.9980011, 105.8190002, 154.4190063]",2
56,"[158.3450012, 113.0589981, 147.6470032]",70,"[151.7799988, 123.7529984, 158.2429962]",3
56,"[158.3450012, 113.0589981, 147.6470032]",72,"[156.5449982, 102.3290024, 159.7810059]",1
56,"[158.3450012, 113.0589981, 147.6470032]",74,"[143.0890045, 162.6399994, 158.6560059]",1
56,"[158.3450012, 113.0589981, 147.6470032]",77,"[147.1609955, 134.2330017, 165.076004]",2
56,"[158.3450012, 113.0589981, 147.6470032]",78,"[150.5050049, 122.2490005, 165.6860046]",2
56,"[158.3450012, 113.0589981, 147.6470032]",79,"[151.3110046, 110.5469971, 164.7810059]",4
56,"[158.3450012, 113.0589981, 147.6470032]",80,"[153.977005, 99.99990082, 164.8159943]",2
56,"[158.3450012, 113.0589981, 147.6470032]",81,"[131.3990021, 172.6230011, 161.6049957]",1
56,"[158.3450012, 113.0589981, 147.6470032]",84,"[142.7519989, 136.5160065, 168.7149963]",1
56,"[158.3450012, 113.0589981, 147.6470032]",85,"[142.0429993, 130.0619965, 169.8990021]",2
56,"[158.3450012, 113.0589981, 147.6470032]",87,"[146.7590027, 103.5790024, 170.7570038]",1
56,"[158.3450012, 113.0589981, 147.6470032]",88,"[147.7610016, 94.17849731, 171.5590057]",1
56,"[158.3450012, 113.0589981, 147.6470032]",89,"[128.6710052, 165.6470032, 169.845993]",1
